Identifier,cookie,Click_No,Image,Mean,SD
,9,15,IMG_4711.jpg,6.943,0.467
,10,16,IMG_4711.jpg,7.072,0.639
,11,17,IMG_4711.jpg,7.319,0.459
,12,18,IMG_4711.jpg,5.466,0.672
,13,19,IMG_4711.jpg,5.547,0.575
,14,20,IMG_4711.jpg,5.037,0.576
,15,21,IMG_4711.jpg,4.968,0.454
,16,22,IMG_4711.jpg,5.179,0.642
,17,23,IMG_4711.jpg,5.286,0.751
,18,24,IMG_4711.jpg,6.474,0.455
,19,25,IMG_4711.jpg,6.26,0.497
,20,26,IMG_4711.jpg,6.89,0.598
scale,,1,IMG_4712.jpg,188.345,2.018
scale,,2,IMG_4712.jpg,171.241,2.247
scale,,3,IMG_4712.jpg,149.172,3.397
scale,,4,IMG_4712.jpg,120.78,2.865
scale,,5,IMG_4712.jpg,83.074,2.651
scale,,6,IMG_4712.jpg,60.445,2.833
,1,7,IMG_4712.jpg,6.194,0.926
,2,8,IMG_4712.jpg,4.13,0.609
,3,9,IMG_4712.jpg,6.467,0.445
,4,10,IMG_4712.jpg,5.549,0.802
,5,11,IMG_4712.jpg,6.46,0.807
,6,12,IMG_4712.jpg,6.395,0.728
,7,13,IMG_4712.jpg,6.442,0.983
,8,14,IMG_4712.jpg,6.925,0.518
,9,15,IMG_4712.jpg,6.091,1.146
,10,16,IMG_4712.jpg,7.307,0.669
,11,17,IMG_4712.jpg,6.671,0.858
,12,18,IMG_4712.jpg,6.244,0.964
,13,19,IMG_4712.jpg,3.753,0.473
,14,20,IMG_4712.jpg,5.866,0.631
,15,21,IMG_4712.jpg,5.462,1.047
,16,22,IMG_4712.jpg,5.113,0.681
,17,23,IMG_4712.jpg,5.91,0.806
,18,24,IMG_4712.jpg,5.288,0.862
,19,25,IMG_4712.jpg,6.185,0.807
,20,26,IMG_4712.jpg,4.713,0.912
scale,,1,IMG_4713.jpg,182.16,1.978
scale,,2,IMG_4713.jpg,163.65,2.61
scale,,3,IMG_4713.jpg,144.362,1.995
scale,,4,IMG_4713.jpg,116.457,3.407
scale,,5,IMG_4713.jpg,81.631,2.613
scale,,6,IMG_4713.jpg,58.08,2.071
,1,7,IMG_4713.jpg,5.53,0.833
,2,8,IMG_4713.jpg,3.657,0.517
,3,9,IMG_4713.jpg,6.374,0.797
,4,10,IMG_4713.jpg,4.79,0.64
,5,11,IMG_4713.jpg,6.885,0.747
,6,12,IMG_4713.jpg,6.805,0.61
,7,13,IMG_4713.jpg,7.031,0.878
,8,14,IMG_4713.jpg,7.264,0.602
,9,15,IMG_4713.jpg,6.803,1.219
,10,16,IMG_4713.jpg,7.001,0.63
,11,17,IMG_4713.jpg,6.676,0.959
,12,18,IMG_4713.jpg,5.668,0.426
,13,19,IMG_4713.jpg,4.99,0.917
,14,20,IMG_4713.jpg,4.394,0.749
,15,21,IMG_4713.jpg,5.246,0.928
,16,22,IMG_4713.jpg,5.897,0.672
,17,23,IMG_4713.jpg,5.666,0.567
,18,24,IMG_4713.jpg,5.556,1.051
,19,25,IMG_4713.jpg,5.476,0.939
,20,26,IMG_4713.jpg,5.762,0.878
scale,,1,IMG_4714.jpg,187.534,2.084
scale,,2,IMG_4714.jpg,171.037,3.103
scale,,3,IMG_4714.jpg,149.161,2.228
scale,,4,IMG_4714.jpg,121.635,3.119
scale,,5,IMG_4714.jpg,87.925,2.292
scale,,6,IMG_4714.jpg,65.306,1.704
,1,7,IMG_4714.jpg,7.469,0.713
,2,8,IMG_4714.jpg,4.816,0.582
,3,9,IMG_4714.jpg,7.291,0.336
,4,10,IMG_4714.jpg,5.949,0.715
,5,11,IMG_4714.jpg,6.501,0.84
,6,12,IMG_4714.jpg,6.238,0.763
,7,13,IMG_4714.jpg,7.383,0.734
,8,14,IMG_4714.jpg,5.936,0.466
,9,15,IMG_4714.jpg,6.959,0.48
,10,16,IMG_4714.jpg,6.815,0.386
,11,17,IMG_4714.jpg,7.11,0.583
,12,18,IMG_4714.jpg,7.231,0.647
,13,19,IMG_4714.jpg,6.113,0.386
,14,20,IMG_4714.jpg,6.045,0.426
,15,21,IMG_4714.jpg,6.252,0.565
,16,22,IMG_4714.jpg,6.37,0.631
,17,23,IMG_4714.jpg,6.273,0.495
,18,24,IMG_4714.jpg,6.116,0.419
,19,25,IMG_4714.jpg,6.922,0.275
,20,26,IMG_4714.jpg,6.954,0.377
scale,,1,IMG_4715.jpg,188.265,2.128
scale,,2,IMG_4715.jpg,171.087,2.077
scale,,3,IMG_4715.jpg,150.682,1.725
scale,,4,IMG_4715.jpg,121.645,2.53
scale,,5,IMG_4715.jpg,84.619,3.583
scale,,6,IMG_4715.jpg,61.957,2.22
,1,7,IMG_4715.jpg,7.168,0.524
,2,8,IMG_4715.jpg,5.026,0.485
,3,9,IMG_4715.jpg,6.1,0.893
,4,10,IMG_4715.jpg,4.226,0.692
,5,11,IMG_4715.jpg,6.694,0.868
,6,12,IMG_4715.jpg,6.343,0.919
,7,13,IMG_4715.jpg,7.091,0.649
,8,14,IMG_4715.jpg,6.401,0.813
,9,15,IMG_4715.jpg,7.078,0.577
,10,16,IMG_4715.jpg,6.869,0.626
,11,17,IMG_4715.jpg,6.346,0.57
,12,18,IMG_4715.jpg,3.818,0.917
,13,19,IMG_4715.jpg,5.475,0.537
,14,20,IMG_4715.jpg,5.704,0.615
,15,21,IMG_4715.jpg,5.45,0.565
,16,22,IMG_4715.jpg,4.692,0.583
,17,23,IMG_4715.jpg,4.56,0.852
,18,24,IMG_4715.jpg,5.387,0.901
,19,25,IMG_4715.jpg,5.906,0.766
,20,26,IMG_4715.jpg,5.48,0.817
